MVA
n;e.d;randoms;;total;;avg_size;;avg_weight;;height;;max_size;;min_size;;num;;num_edges;;sum_size;;sum_weight;;width;
;;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std
50;0,2;1,2;0,6324555320336759;0,0086887359619142;0,0019050822263361577;21;7,055336829505575;14,8;7,360555534589612;3,1;0,8755950357709131;30,7;7,0087247215326;12,5;7,168604389202189;5,8;1,1352924243950935;4,6;1,2649110640673518;118,1;26,252830535222504;68,1;26,252830535222504;2;0,6666666666666666
50;0,32;1;0,0;0,0088660240173341;0,00179799412118554;27,9;9,631545393480044;21,6;9,697651491183029;2;0,6666666666666666;35,7;7,379400758568107;22,6;11,137524161340547;4,8;2,2997584414213788;3,8;2,2997584414213788;120,6;37,609691422409846;70,6;37,609691422409846;1,9;0,7378647873726218
50;0,32;1;0,0;0,0151334047317504;0,002533397145468399;38,8;6,713171133426189;28,7;12,129394965216617;1,6;0,9660917830792959;42,9;5,1305187088853135;34;11,125546178852424;3;1,247219128924647;2;1,247219128924647;110,1;31,42698769458434;60,1;31,42698769458434;1,3;0,6749485577105528
50;0,48;1;0,0;0,0123405218124389;0,0025499555442391967;36,3;7,334090869963972;30,6;8,6178110136314;1,9;1,286683937707919;43,1;5,363456596884761;31,5;9,766723549322407;3,5;1,4337208778404378;2,5;1,4337208778404378;120,5;26,796558651355877;70,5;26,796558651355877;1,6;0,699205898780101
50;0,48;1;0,0;0,0187191486358644;0,004198847225079173;36,5;6,7700320038633;25,3;11,652848960185183;1,5;0,8498365855987975;43,9;5,685263601823773;29,1;11,14998754359045;3,2;1,2292725943057183;2,2;1,2292725943057183;113,7;40,6066497017422;63,7;40,6066497017422;1,6;0,6992058987801011
500;0,01;16;4,570436400267363;0,0352185249328612;0,011270728140514453;10,3;0,6749485577105528;5,2;0,6324555320336759;7;2,1081851067789197;28,7;3,4657049948186747;2,8;1,2292725943057183;80,8;5,750362307426086;64,8;7,208020224413605;870,3;50,88560154350584;370,3;50,88560154350584;5,2;0,9189365834726815
500;0,1;1;0,0;0,3009144067764281;0,028662316375222836;165,7;39,84149149372353;134,8;35,08022551555538;5,1;1,66332999331662;290,5;51,87217194433083;70,6;41,10474425172841;13,3;5,207899981971834;12,3;5,207899981971834;2079,6;545,4552023565068;1579,6;545,4552023565068;3;1,247219128924647
500;0,2;1;0,0;0,4871033191680909;0,09614660893877325;256,1;55,857855311495804;221,8;47,62539005381245;4;1,1547005383792515;374;49,50196404633299;120,1;77,99636743678089;9,3;4,4234225060089685;8,3;4,4234225060089685;2210;710,562687827987;1710;710,562687827987;2,5;1,0801234497346435
500;0,33;1;0,0;0,8421989679336547;0,18556053499643022;357,9;72,48057210958902;284,6;116,61351170045053;3,4;1,505545305418162;423,7;57,211207138306584;251,4;118,12159460111903;6,6;2,503331114069145;5,6;2,503331114069145;2249,8;803,5787730175831;1749,8;803,5787730175832;2,1;0,9944289260117531
500;0,49;1;0,0;1,1410514116287234;0,09171720800188711;385,1;52,59583844965514;365,7;50,85502269523958;3,5;1,509230856356236;448,4;38,916434688816096;305,7;77,15215846336093;7,4;3,806427312965386;6,4;3,806427312965386;2689,4;1056,3155252522272;2189,4;1056,3155252522272;2,1;0,5676462121975467
1000;0,01;;;0,1313749790191651;0,011300239437453098;26,7;2,3118054512532935;16,4;2,1705094128132942;9,4;1,429840705968481;79,5;13,745706400343508;4;3,2998316455372216;89,3;6,092800852007411;84,4;6,619835513230085;2414;155,99002817131898;1414;155,99002817131898;5,8;1,6865480854231356
1000;0,01;3,9;2,0248456731316584;0,1234623193740845;0,006525088471321975;27,8;1,9888578520235065;17,1;1,286683937707919;8,8;1,398411797560202;86,4;13,23463469671738;5,3;2,5841396591085743;86,3;3,973523485382827;82,4;3,596294389136314;2449,7;111,30643387613414;1449,7;111,30643387613414;6,3;1,946506842754191
1000;0,1;;;1,184799313545227;0,18708867965802273;363,6;76,25716724056537;314,9;72,32096668478805;5;1,699673171197595;602,3;93,09021908282786;180,4;92,82145345889722;14,7;3,917198545446024;13,7;3,917198545446024;5158,1;966,1529037027904;4158,1;966,1529037027904;2,8;0,6324555320336759
1000;0,1;1;0,0;1,0923708915710448;0,17240621313597923;305,4;81,97045538214093;264,3;70,20929030010518;5,9;2,64365067451978;593,7;129,5865648042951;61,6;42,445258863623394;20,5;7,706418681131261;19,5;7,706418681131261;5769,6;1288,6991891050448;4769,6;1288,6991891050448;3,8;0,7888106377466155
1000;0,2;;;2,2231432437896728;0,3586815345787139;663,2;148,68295874854732;622,5;157,92139394859288;3,4;1,2649110640673518;851,6;79,12746397778432;432,3;260,0132688921856;9,2;3,5839146815241634;8,2;3,5839146815241634;5733,8;1871,4592523839074;4733,8;1871,4592523839074;2,6;0,8432740427115678
1000;0,2;1;0,0;2,001246476173401;0,2627404247979245;593,6;86,49495810611032;539,5;79,31547418029123;4,3;1,766981104093143;827,4;97,94805879762102;298,4;111,58972473604668;9,3;3,1287200080686173;8,3;3,1287200080686173;5325,2;1354,362400213145;4325,2;1354,362400213145;2,8;0,9189365834726815
1000;0,33;;;3,4662272453308107;0,4734359887386873;755,3;123,04836447511198;719,9;129,67861984322798;3,9;1,449137674618944;903;55,93448548674303;554,9;223,1469122449254;7,9;2,8460498941515415;6,9;2,8460498941515415;5698,5;1462,5930739614487;4698,5;1462,5930739614487;2,3;0,48304589153964794
1000;0,33;1;0,0;3,366732907295227;0,4796499880141956;740,7;108,01651108356845;700,3;109,33541664681822;3,5;1,1785113019775793;892,1;95,93915896140753;513,8;179,29788992995242;8;3,2998316455372216;7;3,2998316455372216;5680,6;1777,833213024589;4680,6;1777,833213024589;2,4;0,5163977794943222
1000;0,49;;;4,72630660533905;0,46693001915037363;806,8;76,53147500647474;763;97,2967967955095;3,8;1,5491933384829668;907,1;56,95700132556137;659,7;135,64582149439357;7,9;3,956710193526379;6,9;3,956710193526379;6181,8;2763,2892155706195;5181,8;2763,2892155706195;2,3;1,1595018087284057
1000;0,49;1;0,0;4,329542255401611;0,5915538105870956;767,3;104,72084585007684;735,3;116,77142915399583;4,4;0,9660917830792959;917,3;46,007366559908405;513,1;230,9792920011085;8,6;3,6270588023294517;7,6;3,6270588023294517;6421,7;2415,4221186184227;5421,7;2415,4221186184227;2;0,4714045207910317
2500;0,01;;;0,8037692546844482;0,05888556436940768;84,3;4,620004810002306;61;4,2946995755750415;9,9;0,8755950357709131;270,2;53,540846297217065;10,5;8,329999333066533;101,6;5,89161362540952;99,4;6,1137368096588665;8601,8;342,23052659476963;6101,8;342,23052659476963;5,9;1,286683937707919
2500;0,01;1,7;0,6749485577105528;0,7487284183502197;0,061827688765138264;83,9;10,805862606320083;60,3;8,667307668602875;9,9;1,5951314818673865;285,4;46,897524217998736;10,3;7,645623294117724;103,8;12,172829489390615;102,1;11,901913945057558;8649,3;534,0955074807417;6149,3;534,0955074807417;5,9;1,1972189997378648
2500;0,1;;;6,638095045089722;0,865012858713771;926,7;135,44334608979506;816,8;127,14104154223547;5,6;1,505545305418162;1658,7;174,00322474661849;260,1;176,41267906058604;16,2;4,4671641514002545;15,2;4,4671641514002545;14666,8;2996,4047642318137;12166,8;2996,4047642318137;3,1;0,7378647873726218
2500;0,1;1;0,0;6,590391659736634;0,6696488266853328;939,1;195,95206329893827;851,2;176,56651249127998;6,4;1,0749676997731399;1766,3;224,21321697586578;257,5;92,21502649303481;20,8;8,024961059095553;19,8;8,024961059095553;18279,8;3851,5466099852524;15779,8;3851,5466099852524;3,5;1,2692955176439846
2500;0,2;;;12,957532501220703;1,5469521986243726;1422,3;211,16241774204676;1344,1;203,74627467623657;5,8;1,8737959096740262;2078;132,68174118711454;535,5;256,29290968646706;15,8;5,329165037789691;14,8;5,329165037789691;21684,8;5450,68050389633;19184,8;5450,68050389633;3,4;0,8432740427115678
2500;0,2;1;0,0;12,977496767044068;1,5495913590179968;1570,5;220,52576065192727;1474,1;221,25272126386756;5,2;1,2292725943057183;2087,9;179,87924962164047;885,9;349,04550801674367;11,3;4,164666186436128;10,3;4,164666186436128;17154,5;4346,367915346739;14654,5;4346,367915346739;3,1;0,9944289260117533
2500;0,33;;;21,86485595703125;3,8282817330931636;1894,7;354,4573473792173;1828,3;393,20733857738605;4;1,8856180831641267;2274,3;211,17188891201087;1260;743,6177333370509;10,2;5,00666222813829;9,2;5,00666222813829;18357,1;7527,687153288039;15857,1;7527,687153288039;2,8;0,6324555320336759
2500;0,33;1;0,0;20,33552713394165;2,853950645227638;1974,1;373,7044137936945;1652,7;674,3676956148544;3,5;2,223610677354389;2336,2;166,77649714513134;1434,4;819,6861458984029;7,5;4,249182927993988;6,5;4,249182927993988;13579,7;6302,171425610206;11079,7;6302,171425610206;2,3;1,2516655570345725
2500;0,49;;;26,911323022842407;4,652840667515881;2042,9;220,89688393758146;1981,1;223,99327866900134;3,8;1,7511900715418263;2325,1;107,50343663757401;1586;522,615431162235;9,3;4,110960958218893;8,3;4,110960958218893;18407;6817,459774562501;15907;6817,459774562501;2,6;1,07496769977314
2500;0,49;1;0,0;29,3386647939682;4,5115228170465596;2144,3;175,4404299027007;2089,6;180,48404053790708;3,5;1,35400640077266;2358,4;118,17990052834233;1771,1;323,948023951717;8,9;5,216427044549853;7,9;5,216427044549853;18357,2;9739,36311857996;15857,2;9739,36311857996;2,5;1,0801234497346435
5000;0,01;;;3,254370856285095;0,32218027485929635;194,6;22,44598454562023;150,3;18,111077027916124;9,8;1,3984117975602022;717,6;132,52689454513668;20;18,583146486355137;110,3;12,763228431709589;109,1;12,56494241044414;21269,4;844,0682173589737;16269,4;844,0682173589737;6,5;1,35400640077266
5000;0,01;1,1;0,31622776601683794;3,0344736576080322;0,11983260288013431;194,4;13,359973386533705;149,3;9,080504146552412;10,4;1,0749676997731399;695,4;109,28474530123387;26,1;20,663709465845887;108,9;12,350888407092198;107,8;12,272824541327976;21087,7;1187,9944865191926;16087,7;1187,9944865191926;5,7;1,2516655570345725
5000;0,1;;;29,512756633758546;2,2426714049030325;1794,1;333,7951634028137;1657,5;275,49682393813544;8,7;2,6267851073127395;3347,8;214,89625403901297;568,7;372,20396140945206;29,8;13,414751416092493;28,8;13,414751416092493;50053,5;17033,85525782242;45053,5;17033,85525782242;3,8;1,1352924243950935
5000;0,1;1;0,0;27,52479214668274;2,7386541668117292;1836,3;409,8010492909944;1700,8;406,7136038486487;6,9;1,5238839267549946;3584,2;313,98117424103276;613,2;253,12350959780704;26,4;8,342661445845684;25,4;8,342661445845684;46510,8;9511,425384475475;41510,8;9511,425384475475;3,7;0,8232726023485646
5000;0,2;;;53,42412531375885;6,36084974385;3050,2;424,17182053188463;2888,3;401,7572650245419;5,1;1,286683937707919;4386,7;337,5832572204308;1083,8;447,2711829652243;14,1;5,065131346328104;13,1;5,065131346328104;41397,9;11650,521909625624;36397,9;11650,521909625624;2,9;0,7378647873726218
5000;0,2;1;0,0;49,13160614967346;4,1718342182437365;3076,8;674,2668116801638;2947,6;683,9971085059091;5,6;2,2211108331943574;4230,1;427,623523414905;1554,1;1107,1247495703053;15,8;5,308274463305169;14,8;5,308274463305169;45638,1;9049,299978451372;40638,1;9049,299978451372;3,3;0,48304589153964794
5000;0,33;;;82,25273134708405;9,127365253947445;3675,8;752,2614498223932;3553,7;789,2557746242835;5,4;2,6331223544175333;4517,9;322,07261086076016;2267;1264,422309901948;11,8;6,0332412515993425;10,8;6,0332412515993425;40494,5;17218,80891641463;35494,5;17218,80891641463;2,5;0,8498365855987975
